Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
World Review of Entrepreneurship, Management and Sustainable Development;1,6;"32.0%
495/731
Economics and Econometrics";280;172;43;0,339;0,184;Inderscience Publishers
International Journal of Electronic Marketing and Retailing;1,6;"29.0%
99/139
Management Information Systems";170;105;55;0,358;0,191;Inderscience Publishers
Journal of Teaching in International Business;1,6;"42.0%
938/1620
Education";62;38;58;0,458;0,269;Taylor & Francis
Transylvanian Review of Administrative Sciences;1,6;"40.0%
144/242
Public Administration";233;148;45;0,53;0,271;Universitatea Babes-Bolyai
International Journal of E-Entrepreneurship and Innovation;1,6;"64.0%
391/1105
Law";37;23;65;0,281;0,195;IGI Global Publishing
Management (Croatia);1,6;"31.0%
155/225
General Business, Management and Accounting";195;124;52;0,31;0,189;University of Split - Faculty of Economics
Journal of Labor Research;1,6;"30.0%
164/234
Organizational Behavior and Human Resource Management";89;55;42;0,869;0,316;Springer Nature
Journal of Economics/ Zeitschrift fur Nationalokonomie;1,6;"31.0%
498/731
Economics and Econometrics";201;126;56;1,134;0,528;Springer Nature
Food Science and Technology Research;1,6;"39.0%
242/402
Industrial and Manufacturing Engineering";431;271;56;0,407;0,271;Japanese Society for Food Science and Technology
Acta Commercii;1,6;"37.0%
130/208
Business, Management and Accounting (miscellaneous)";157;97;58;0,356;0,217;AOSIS (Pty) Ltd
Advances in Technology Innovation;1,6;"34.0%
226/344
General Engineering";153;96;55;0,426;0,202;Taiwan Association of Engineering and Technology Innovation
Studies in Business and Economics;1,6;"48.0%
134/260
Economics, Econometrics and Finance (miscellaneous)";377;242;51;0,477;0,24;Walter de Gruyter
Tuning Journal for Higher Education;1,6;"41.0%
947/1620
Education";109;68;53;0,469;0,25;University of Deusto
Journal of Accounting Literature;1,6;"33.0%
122/182
Accounting";43;27;56;1,73;0,285;Emerald Publishing
Journal of Participation and Employee Ownership;1,6;"50.0%
128/260
Economics, Econometrics and Finance (miscellaneous)";70;43;53;1,367;0,393;Emerald Publishing
Scandinavian Journal of Public Administration;1,6;"63.0%
408/1105
Law";123;79;57;0,696;0,29;University of Gothenburg School of Public Administration
International Journal of Services, Economics and Management;1,6;"30.0%
507/731
Economics and Econometrics";149;96;54;0,548;0,214;Inderscience Publishers
International Journal of Intellectual Property Management;1,6;"64.0%
397/1105
Law";176;110;40;0,669;0,286;Inderscience Publishers
International Journal of Management in Education;1,6;"40.0%
957/1620
Education";186;119;58;0,313;0,22;Inderscience Publishers
Journal of Environmental Accounting and Management;1,6;"55.0%
130/288
Urban Studies";179;115;54;0,26;0,205;L and H Scientific Publishing, LLC
Annals of Applied Sport Science;1,6;"55.0%
302/674
Social Sciences (miscellaneous)";325;209;50;0,414;0,225;Society of Aging and Physical Activity (SAPA)
Review of Integrative Business and Economics Research;1,6;"49.0%
131/260
Economics, Econometrics and Finance (miscellaneous)";392;249;47;1,759;0,285;GMP Press & Printing Co.,
Enterprise and Society;1,7;"92.0%
134/1850
History";276;162;59;1,66;0,695;Cambridge University Press
Compensation and Benefits Review;1,7;"39.0%
126/208
Business, Management and Accounting (miscellaneous)";90;53;53;0,349;0,205;SAGE
Journal of Creating Value;1,7;"41.0%
123/208
Business, Management and Accounting (miscellaneous)";115;67;57;0,754;0,405;SAGE
Journal of International Trade Law and Policy;1,7;"66.0%
366/1105
Law";77;45;60;0,562;0,259;Emerald Publishing
International Journal of Value Chain Management;1,7;"31.0%
323/474
Information Systems";114;69;58;0,293;0,201;Inderscience Publishers
European Journal of International Management;1,7;"42.0%
931/1620
Education";466;279;48;0,461;0,318;Inderscience Publishers
International Journal of Business Innovation and Research;1,7;"30.0%
214/305
Management of Technology and Innovation";553;320;52;0,364;0,237;Inderscience Publishers
International Journal of Business Excellence;1,7;"30.0%
346/496
Strategy and Management";544;325;49;0,474;0,267;Inderscience Publishers
International Journal of Information Systems and Change Management;1,7;"34.0%
149/225
General Business, Management and Accounting";82;47;60;0,381;0,187;Inderscience Publishers
International Journal of Business and Emerging Markets;1,7;"33.0%
483/731
Economics and Econometrics";153;90;66;0,352;0,203;Inderscience Publishers
WSEAS Transactions on Business and Economics;1,7;"33.0%
488/731
Economics and Econometrics";1241;746;48;0,384;0,192;WSEAS Press
International Journal of Evidence Based Coaching and Mentoring;1,7;"42.0%
933/1620
Education";278;167;47;0,623;0,329;Oxford Brookes University
Journal of Corporate Accounting and Finance;1,7;"51.0%
137/284
General Economics, Econometrics and Finance";413;238;51;0,523;0,335;John Wiley & Sons
International Journal of Sport Finance;1,7;"37.0%
210/333
Finance";92;53;55;0,772;0,391;Fitness Information Technology
Review of Industrial Organization;1,7;"33.0%
487/731
Economics and Econometrics";332;199;62;0,889;1,075;Springer Nature
Southern African Journal of Entrepreneurship and Small Business Management;1,7;"42.0%
178/309
Development";130;75;57;0,342;0,226;AOSIS (Pty) Ltd
South African Journal of Business Management;1,7;"31.0%
339/496
Strategy and Management";259;149;61;0,372;0,284;AOSIS (Pty) Ltd
Economy of Regions;1,7;"50.0%
141/284
General Economics, Econometrics and Finance";604;360;53;0,834;0,265;Institute of Economics, The Ural Branch of Russian Academy of Sciences
Real Estate Management and Valuation;1,7;"36.0%
211/333
Finance";229;135;63;0,638;0,257;Walter de Gruyter
Journal of Distribution Science;1,7;"34.0%
481/731
Economics and Econometrics";873;505;43;0,298;0,183;KODISA Foundation
Journal of Telecommunications and the Digital Economy;1,7;"55.0%
31/69
Media Technology";310;187;60;0,316;0,179;Telecommunications Association Inc.
Journal of Park and Recreation Administration;1,7;"57.0%
287/674
Social Sciences (miscellaneous)";242;142;54;0,413;0,356;Sagamore Publishing LLC
Negotiation and Conflict Management Research;1,7;"54.0%
242/535
Communication";98;59;61;0,753;0,244;International Association for Conflict Management
International Journal of Learning and Change;1,7;"43.0%
921/1620
Education";244;144;51;0,447;0,205;Inderscience Publishers
International Journal of Diplomacy and Economy;1,7;"59.0%
297/738
Political Science and International Relations";71;42;50;0,574;0,228;Inderscience Publishers
Markets, Globalization and Development Review;1,7;"68.0%
197/630
Arts and Humanities (miscellaneous)";63;38;92;0,07;0,148;University of Rhode Island
International Journal of Instructional Cases;1,7;"40.0%
125/208
Business, Management and Accounting (miscellaneous)";114;67;43;0,418;0,257;Herald Academic Ltd and Organizational Ergonomics
International Journal on Food System Dynamics;1,7;"52.0%
124/260
Economics, Econometrics and Finance (miscellaneous)";229;131;53;0,517;0,241;CentMa GmbH
Management Teaching Review;1,8;"44.0%
905/1620
Education";186;106;59;1,148;0,382;SAGE
JMM International Journal on Media Management;1,8;"57.0%
227/535
Communication";54;30;63;0,456;0,268;Taylor & Francis
Harvard Business Review;1,8;"35.0%
145/225
General Business, Management and Accounting";447;252;41;N/A;0,553;Harvard Business School Publishing
Journal for Global Business Advancement;1,8;"30.0%
312/451
Business and International Management";183;103;64;0,332;0,165;Inderscience Publishers
Recreational Sports Journal;1,8;"58.0%
281/674
Social Sciences (miscellaneous)";114;64;56;0,713;0,38;SAGE
Rural Society;1,8;"58.0%
621/1497
Sociology and Political Science";79;44;55;0,475;0,262;Taylor & Francis
Journal of Business and Finance Librarianship;1,8;"58.0%
120/287
Library and Information Sciences";134;74;53;1,026;0,396;Taylor & Francis
Journal of Construction in Developing Countries;1,8;"73.0%
55/203
Architecture";209;114;57;0,57;0,335;Penerbit Universiti Sains Malaysia
Asian Academy of Management Journal;1,8;"36.0%
143/225
General Business, Management and Accounting";154;85;60;0,314;0,253;Penerbit Universiti Sains Malaysia
Journal of Tax Reform;1,8;"68.0%
351/1105
Law";181;102;65;0,387;0,187;Ural Federal University
International Journal of Religious Tourism and Pilgrimage;1,8;"92.0%
53/705
Religious Studies";371;206;57;0,682;0,291;Technological University Dublin
Voprosy Ekonomiki;1,8;"93.0%
119/1850
History";651;357;56;0,897;0,326;Russian Presidential Academy of National Economy and Public Administration
Nordic Journal of Working Life Studies;1,8;"41.0%
36/61
Industrial Relations";194;105;62;0,562;0,358;Roskilde University
International Journal of Hospitality and Tourism Systems;1,8;"29.0%
107/151
Tourism, Leisure and Hospitality Management";292;160;47;0,37;0,205;Publishing India Group
Fibres and Textiles in Eastern Europe;1,8;"42.0%
233/402
Industrial and Manufacturing Engineering";464;251;56;0,575;0,252;Walter de Gruyter
Revista de Administracao Mackenzie;1,8;"58.0%
627/1497
Sociology and Political Science";281;159;48;0,57;0,267;Mackenzie Presbyterian University
Sinergie;1,8;"37.0%
142/225
General Business, Management and Accounting";226;124;48;0,34;0,251;Fondazione Cueim
World Tax Journal;1,8;"69.0%
339/1105
Law";139;76;54;0,817;0,762;International Bureau of Fiscal Documentation (IBFD)
Journal of Hospital Management and Health Policy;1,8;"32.0%
28/41
Leadership and Management";203;114;55;0,371;0,3;AME Publishing Company
International Journal of Technology Marketing;1,8;"31.0%
648/947
Computer Science Applications";155;84;64;0,286;0,247;Inderscience Publishers
Economia Agro-Alimentare;1,8;"58.0%
277/674
Social Sciences (miscellaneous)";168;93;69;0,275;0,217;Franco Angeli Edizioni
Zbornik radova Ekonomskog fakulteta u Rijeci / Proceedings of Rijeka Faculty of Economics;1,8;"37.0%
207/333
Finance";127;72;49;0,477;0,197;University of Rijeka, Faculty of Economics and Business
International Journal of Procurement Management;1,8;"35.0%
146/225
General Business, Management and Accounting";405;229;52;0,441;0,222;Inderscience Publishers
Artivate;1,8;"93.0%
45/676
Visual Arts and Performing Arts";35;20;55;1,169;0,242;University of Arkansas Press
Journal of Real Estate Research;1,9;"60.0%
115/288
Urban Studies";157;82;68;0,805;0,447;Taylor & Francis
Journal of European Real Estate Research;1,9;"40.0%
197/333
Finance";153;80;56;0,846;0,263;Emerald Publishing
International Journal of Economics and Management;1,9;"57.0%
122/284
General Economics, Econometrics and Finance";225;116;55;0,363;0,23;Universiti Putra Malaysia
Pertanika Journal of Social Sciences and Humanities;1,9;"90.0%
17/176
General Arts and Humanities";964;508;58;0,639;0,273;Universiti Putra Malaysia
Records Management Journal;1,9;"59.0%
116/287
Library and Information Sciences";102;54;69;0,994;0,274;Emerald Publishing
Revista de Artes Marciales Asiaticas;1,9;"76.0%
123/524
Anthropology";107;55;60;0,689;0,34;Universidad de Leon
Journal of Human Values;1,9;"85.0%
204/1371
Cultural Studies";139;74;58;0,495;0,241;SAGE
International Journal of Management and Enterprise Development;1,9;"31.0%
309/451
Business and International Management";137;74;53;0,523;0,172;Inderscience Publishers
International Journal of Applied Decision Sciences;1,9;"43.0%
108/190
Information Systems and Management";249;131;52;0,418;0,248;Inderscience Publishers
International Journal of Globalisation and Small Business;1,9;"42.0%
109/190
Information Systems and Management";98;52;46;0,318;0,231;Inderscience Publishers
International Journal of Technology Intelligence and Planning;1,9;"44.0%
106/190
Information Systems and Management";37;19;21;0,602;0,296;Inderscience Publishers
International Journal of Business and Systems Research;1,9;"33.0%
332/496
Strategy and Management";253;136;53;0,305;0,173;Inderscience Publishers
Indian Journal of Corporate Governance;1,9;"42.0%
120/208
Business, Management and Accounting (miscellaneous)";99;53;51;0,436;0,273;SAGE
Foundations and Trends in Information Systems;1,9;"33.0%
314/474
Information Systems";26;14;57;0,448;0,297;Now Publishers Inc
Scientific Annals of Economics and Business;1,9;"55.0%
127/284
General Economics, Econometrics and Finance";246;132;55;0,428;0,218;Alexandru Ioan Cuza - University of Iasi
Journal of Governance and Regulation;1,9;"44.0%
136/242
Public Administration";907;475;60;0,389;0,195;Virtus Interpress
Corporate and Business Strategy Review;1,9;"48.0%
16/30
Decision Sciences (miscellaneous)";481;259;58;0,511;0,209;Virtus Interpress
Studia Universitatis Vasile Goldis Arad, Economics Series;1,9;"40.0%
199/333
Finance";154;81;53;0,421;0,194;Walter de Gruyter
Canadian Journal of Learning and Technology;1,9;"45.0%
877/1620
Education";184;98;46;0,454;0,294;Canadian Network for Innovation in Education
Global Business and Finance Review;1,9;"41.0%
194/333
Finance";533;276;55;1,035;0,25;People and Global Business Association
Interdisciplinary Journal of Management Studies;1,9;"43.0%
119/208
Business, Management and Accounting (miscellaneous)";413;220;50;0,451;0,225;University of Tehran, College of Farabi
Business Informatics;1,9;"37.0%
461/731
Economics and Econometrics";179;96;49;0,667;0,205;National Research University Higher School of Economics (HSE University)
Water Economics and Policy;1,9;"37.0%
459/731
Economics and Econometrics";189;100;59;0,557;0,355;World Scientific
Journal of Intercultural Communication;1,9;"85.0%
196/1371
Cultural Studies";302;158;63;1,083;0,288;Immigrant Institutet
Health Leadership and Quality of Life;1,9;"36.0%
440/687
Public Health, Environmental and Occupational Health";1032;550;11;0;N/A;AG Editor (Argentina)
Informacios Tarsadalom;1,9;"60.0%
269/674
Social Sciences (miscellaneous)";186;97;42;0,517;0,283;Infonia
Quantitative Finance and Economics;2;"55.0%
117/260
Economics, Econometrics and Finance (miscellaneous)";131;64;55;1,15;0,498;American Institute of Mathematical Sciences
INFORMS Transactions on Education;2;"47.0%
847/1620
Education";146;73;58;0,65;0,345;INFORMS Institute for Operations Research and the Management Sciences
Serbian Journal of Management;2;"39.0%
137/225
General Business, Management and Accounting";223;112;57;0,352;0,238;University of Belgrade
Journal of Industrial Economics;2;"38.0%
138/225
General Business, Management and Accounting";274;140;53;1,149;1,486;John Wiley & Sons
American Business Law Journal;2;"71.0%
311/1105
Law";116;59;64;N/A;0,363;John Wiley & Sons
Periodica Polytechnica Social and Management Sciences;2;"57.0%
121/285
General Social Sciences";141;72;57;0,393;0,209;Budapest University of Technology and Economics
GENEVA Risk and Insurance Review;2;"44.0%
115/208
Business, Management and Accounting (miscellaneous)";72;36;72;0,887;0,287;Springer Nature
Journal of Homeland Security and Emergency Management;2;"47.0%
58/109
Safety Research";113;57;65;0,666;0,254;Walter de Gruyter
Accounting, Economics and Law: A Convivium;2;"72.0%
303/1105
Law";162;80;64;0,647;0,52;Walter de Gruyter
International Journal of Product Lifecycle Management;2;"47.0%
124/235
Safety, Risk, Reliability and Quality";102;50;68;0,371;0,219;Inderscience Publishers
